Module	Section	Sample Name	Source
FastQC	all_sections	SRR18170921_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170921_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170931_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170931_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170930_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170930_R1_process1_fastqc.zip
FastQC	all_sections	SRR18170918_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170918_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170919_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170919_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170931_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170931_R1_process1_fastqc.zip
FastQC	all_sections	SRR18170928_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170928_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170917_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170917_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170930_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170930_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170921_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170921_R1_process1_fastqc.zip
FastQC	all_sections	SRR18170918_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170918_R1_process1_fastqc.zip
FastQC	all_sections	SRR18170929_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170929_R1_process1_fastqc.zip
FastQC	all_sections	SRR18170928_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170928_R1_process1_fastqc.zip
FastQC	all_sections	SRR18170929_R2_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170929_R2_process1_fastqc.zip
FastQC	all_sections	SRR18170917_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170917_R1_process1_fastqc.zip
FastQC	all_sections	SRR18170919_R1_process1	/storage/caadams/dissertation/fastqc_process_1/GSE197609/SRR18170919_R1_process1_fastqc.zip
