Module	Section	Sample Name	Source
FastQC	all_sections	SRR3437062_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437062_1_fastqc.zip
FastQC	all_sections	SRR3437070_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437070_2_fastqc.zip
FastQC	all_sections	SRR3437076_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437076_1_fastqc.zip
FastQC	all_sections	SRR3437066_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437066_2_fastqc.zip
FastQC	all_sections	SRR3437081_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437081_1_fastqc.zip
FastQC	all_sections	SRR3437087_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437087_2_fastqc.zip
FastQC	all_sections	SRR3437076_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437076_2_fastqc.zip
FastQC	all_sections	SRR3437056_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437056_2_fastqc.zip
FastQC	all_sections	SRR3437058_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437058_2_fastqc.zip
FastQC	all_sections	SRR3437056_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437056_1_fastqc.zip
FastQC	all_sections	SRR3437051_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437051_1_fastqc.zip
FastQC	all_sections	SRR3437073_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437073_2_fastqc.zip
FastQC	all_sections	SRR3437055_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437055_1_fastqc.zip
FastQC	all_sections	SRR3437082_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437082_1_fastqc.zip
FastQC	all_sections	SRR3437070_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437070_1_fastqc.zip
FastQC	all_sections	SRR3437053_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437053_2_fastqc.zip
FastQC	all_sections	SRR3437059_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437059_1_fastqc.zip
FastQC	all_sections	SRR3437062_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437062_2_fastqc.zip
FastQC	all_sections	SRR3437052_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437052_1_fastqc.zip
FastQC	all_sections	SRR3437086_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437086_1_fastqc.zip
FastQC	all_sections	SRR3437080_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437080_1_fastqc.zip
FastQC	all_sections	SRR3437085_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437085_1_fastqc.zip
FastQC	all_sections	SRR3437071_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437071_1_fastqc.zip
FastQC	all_sections	SRR3437057_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437057_1_fastqc.zip
FastQC	all_sections	SRR3437078_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437078_1_fastqc.zip
FastQC	all_sections	SRR3437067_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437067_2_fastqc.zip
FastQC	all_sections	SRR3437075_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437075_2_fastqc.zip
FastQC	all_sections	SRR3437064_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437064_1_fastqc.zip
FastQC	all_sections	SRR3437074_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437074_2_fastqc.zip
FastQC	all_sections	SRR3437085_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437085_2_fastqc.zip
FastQC	all_sections	SRR3437082_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437082_2_fastqc.zip
FastQC	all_sections	SRR3437081_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437081_2_fastqc.zip
FastQC	all_sections	SRR3437068_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437068_2_fastqc.zip
FastQC	all_sections	SRR3437083_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437083_1_fastqc.zip
FastQC	all_sections	SRR3437060_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437060_2_fastqc.zip
FastQC	all_sections	SRR3437057_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437057_2_fastqc.zip
FastQC	all_sections	SRR3437054_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437054_2_fastqc.zip
FastQC	all_sections	SRR3437074_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437074_1_fastqc.zip
FastQC	all_sections	SRR3437086_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437086_2_fastqc.zip
FastQC	all_sections	SRR3437061_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437061_1_fastqc.zip
FastQC	all_sections	SRR3437087_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437087_1_fastqc.zip
FastQC	all_sections	SRR3437075_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437075_1_fastqc.zip
FastQC	all_sections	SRR3437065_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437065_1_fastqc.zip
FastQC	all_sections	SRR3437053_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437053_1_fastqc.zip
FastQC	all_sections	SRR3437084_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437084_2_fastqc.zip
FastQC	all_sections	SRR3437079_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437079_1_fastqc.zip
FastQC	all_sections	SRR3437079_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437079_2_fastqc.zip
FastQC	all_sections	SRR3437077_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437077_2_fastqc.zip
FastQC	all_sections	SRR3437072_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437072_1_fastqc.zip
FastQC	all_sections	SRR3437067_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437067_1_fastqc.zip
FastQC	all_sections	SRR3437066_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437066_1_fastqc.zip
FastQC	all_sections	SRR3437061_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437061_2_fastqc.zip
FastQC	all_sections	SRR3437068_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437068_1_fastqc.zip
FastQC	all_sections	SRR3437084_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437084_1_fastqc.zip
FastQC	all_sections	SRR3437080_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437080_2_fastqc.zip
FastQC	all_sections	SRR3437069_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437069_2_fastqc.zip
FastQC	all_sections	SRR3437069_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437069_1_fastqc.zip
FastQC	all_sections	SRR3437055_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437055_2_fastqc.zip
FastQC	all_sections	SRR3437083_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437083_2_fastqc.zip
FastQC	all_sections	SRR3437073_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437073_1_fastqc.zip
FastQC	all_sections	SRR3437077_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437077_1_fastqc.zip
FastQC	all_sections	SRR3437051_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437051_2_fastqc.zip
FastQC	all_sections	SRR3437064_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437064_2_fastqc.zip
FastQC	all_sections	SRR3437071_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437071_2_fastqc.zip
FastQC	all_sections	SRR3437078_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437078_2_fastqc.zip
FastQC	all_sections	SRR3437054_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437054_1_fastqc.zip
FastQC	all_sections	SRR3437065_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437065_2_fastqc.zip
FastQC	all_sections	SRR3437060_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437060_1_fastqc.zip
FastQC	all_sections	SRR3437059_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437059_2_fastqc.zip
FastQC	all_sections	SRR3437058_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437058_1_fastqc.zip
FastQC	all_sections	SRR3437063_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437063_2_fastqc.zip
FastQC	all_sections	SRR3437052_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437052_2_fastqc.zip
FastQC	all_sections	SRR3437063_1	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437063_1_fastqc.zip
FastQC	all_sections	SRR3437072_2	/storage/caadams/dissertation/fastqc_raw/GSE80609/SRR3437072_2_fastqc.zip
